"","Id","Date","Time","StepTotal"
"1",1503960366,2016-03-11,"00:00:00",0
"2",1503960366,2016-03-11,"01:00:00",0
"3",1503960366,2016-03-12,"00:00:00",39
"4",1503960366,2016-03-12,"01:00:00",0
"5",1503960366,2016-03-12,"02:00:00",0
"6",1503960366,2016-03-12,"03:00:00",0
"7",1503960366,2016-03-12,"04:00:00",0
"8",1503960366,2016-03-12,"05:00:00",0
"9",1503960366,2016-03-12,"06:00:00",0
"10",1503960366,2016-03-12,"07:00:00",0
"11",1503960366,2016-03-12,"08:00:00",0
"12",1503960366,2016-03-12,"09:00:00",8
"13",1503960366,2016-03-12,"10:00:00",551
"14",1503960366,2016-03-12,"11:00:00",1764
"15",1503960366,2016-03-12,"12:00:00",1259
"16",1503960366,2016-03-12,"13:00:00",253
"17",1503960366,2016-03-12,"14:00:00",4470
"18",1503960366,2016-03-12,"15:00:00",4919
"19",1503960366,2016-03-12,"16:00:00",1905
"20",1503960366,2016-03-12,"17:00:00",1038
"21",1503960366,2016-03-12,"18:00:00",14
"22",1503960366,2016-03-12,"19:00:00",606
"23",1503960366,2016-03-12,"20:00:00",56
"24",1503960366,2016-03-12,"21:00:00",782
"25",1503960366,2016-03-12,"22:00:00",1132
"26",1503960366,2016-03-12,"23:00:00",918
"27",1503960366,2016-03-13,"00:00:00",54
"28",1503960366,2016-03-13,"01:00:00",53
"29",1503960366,2016-03-13,"02:00:00",27
"30",1503960366,2016-03-13,"03:00:00",0
"31",1503960366,2016-03-13,"04:00:00",0
"32",1503960366,2016-03-13,"05:00:00",0
"33",1503960366,2016-03-13,"06:00:00",0
"34",1503960366,2016-03-13,"07:00:00",0
"35",1503960366,2016-03-13,"08:00:00",6
"36",1503960366,2016-03-13,"09:00:00",73
"37",1503960366,2016-03-13,"10:00:00",2850
"38",1503960366,2016-03-13,"11:00:00",4854
"39",1503960366,2016-03-13,"12:00:00",24
"40",1503960366,2016-03-13,"13:00:00",118
"41",1503960366,2016-03-13,"14:00:00",19
"42",1503960366,2016-03-13,"15:00:00",510
"43",1503960366,2016-03-13,"16:00:00",510
"44",1503960366,2016-03-13,"17:00:00",96
"45",1503960366,2016-03-13,"18:00:00",4100
"46",1503960366,2016-03-13,"19:00:00",1756
"47",1503960366,2016-03-13,"20:00:00",477
"48",1503960366,2016-03-13,"21:00:00",147
"49",1503960366,2016-03-13,"22:00:00",214
"50",1503960366,2016-03-13,"23:00:00",1286
"51",1503960366,2016-03-14,"00:00:00",33
"52",1503960366,2016-03-14,"01:00:00",20
"53",1503960366,2016-03-14,"02:00:00",0
"54",1503960366,2016-03-14,"03:00:00",0
"55",1503960366,2016-03-14,"04:00:00",0
"56",1503960366,2016-03-14,"05:00:00",0
"57",1503960366,2016-03-14,"06:00:00",0
"58",1503960366,2016-03-14,"07:00:00",53
"59",1503960366,2016-03-14,"08:00:00",212
"60",1503960366,2016-03-14,"09:00:00",2832
"61",1503960366,2016-03-14,"10:00:00",43
"62",1503960366,2016-03-14,"11:00:00",220
"63",1503960366,2016-03-14,"12:00:00",181
"64",1503960366,2016-03-14,"13:00:00",12
"65",1503960366,2016-03-14,"14:00:00",44
"66",1503960366,2016-03-14,"15:00:00",205
"67",1503960366,2016-03-14,"16:00:00",152
"68",1503960366,2016-03-14,"17:00:00",226
"69",1503960366,2016-03-14,"18:00:00",516
"70",1503960366,2016-03-14,"19:00:00",559
"71",1503960366,2016-03-14,"20:00:00",1104
"72",1503960366,2016-03-14,"21:00:00",252
"73",1503960366,2016-03-14,"22:00:00",0
"74",1503960366,2016-03-14,"23:00:00",3305
"75",1503960366,2016-03-15,"00:00:00",0
"76",1503960366,2016-03-15,"01:00:00",0
"77",1503960366,2016-03-15,"02:00:00",60
"78",1503960366,2016-03-15,"03:00:00",0
"79",1503960366,2016-03-15,"04:00:00",7
"80",1503960366,2016-03-15,"05:00:00",0
"81",1503960366,2016-03-15,"06:00:00",4
"82",1503960366,2016-03-15,"07:00:00",11
"83",1503960366,2016-03-15,"08:00:00",470
"84",1503960366,2016-03-15,"09:00:00",1967
"85",1503960366,2016-03-15,"10:00:00",729
"86",1503960366,2016-03-15,"11:00:00",659
"87",1503960366,2016-03-15,"12:00:00",1787
"88",1503960366,2016-03-15,"13:00:00",333
"89",1503960366,2016-03-15,"14:00:00",980
"90",1503960366,2016-03-15,"15:00:00",371
"91",1503960366,2016-03-15,"16:00:00",605
